"","aardvark","alligator","ant","anteater","antelope","ape","bear","bird","blue jay","cat","cheetah","chimpanzee","cow","crow","dog","dolphin","donkey","duck","eagle","elephant","ferret","fish","fox","frog","giraffe","goat","gorilla","hawk","horse","hummingbird","kangaroo","lemur","leopard","lion","lizard","monkey","mouse","orangutan","ostrich","panther","parrot","penguin","pig","polar bear","porcupine","rabbit","rat","raven","rhinoceros","snake","spider","squirrel","tiger","turtle","whale","wolf","worm","zebra"
"aardvark",1,0,0,0,0,0,0,0,0,0,0.270833333333333,0,-0.315063018906302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.221162934232346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"alligator",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.547267233169888,0,0,0,0,0,0,0,0,0,0.286896275567448,0,0,0,0,0,0.359494295458103,0,0,-0.474608026875176,0,0,0,0,-0.247456698866216
"ant",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,-0.392856356907858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166666666666667,0,0,0.294017618780332,0,0,0,0,0,0,0
"anteater",0,0,0,1,0.159130987416042,0,0,0,0,0,0,0,0,0.298456439592633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46969696969697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"antelope",0,0,0,0.159130987416042,1,0.232191265450476,0,0,0,0.247593784236069,0,0,0,-0.195529486695138,0,0,-0.320256307610174,0,0,0.392856356907858,0,0,0,0,0,0.25,0,0,0,-0.134005042034562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ape",0,0,0,0,0.232191265450476,1,0,0,0,0,0,0,0,0,0,0,-0.211340986102904,0,0,0,0,0,0,0,0,-0.293294230042707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bear",0,0,0,0,0,0,1,0,0,0.530668630505232,0,-0.269407953040162,0,0,0.408248290463863,0,0,-0.269407953040162,0,0.0857492925712544,0,0,0,0,0.288675134594813,0,-0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bird",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43007561540389,0,0.46475800154489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299183036802706,0,0.170388550274119,0,0,0,0,0,0
"blue jay",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.211340986102904,0,0,0,0,0,0,0,0,0,0,0,-0.349089958725762,0,0,0,0,0,0,0,0,0,0,0,0,0.366617787553383,0,0,0,0,0,0,0,0,0.551441633735729,0,0,0,0,0,0,0
"cat",0,0,0,0,0.247593784236069,0,0.530668630505232,0,0,1,0,-0.313164384590661,0,0,0.897527467855751,0,-0.0792934711266737,-0.313164384590661,0,0.316364338557842,0,0,0,0,0.218844054766204,0,-0.341144119610507,0,0,0,0,0,0,0,0,-0.247593784236069,0,-0.195402298850575,0,0,0,0,0,0,0,0,0,0,0,0,0.206896551724138,0,0,0,0.393919298579168,0,0,0
"cheetah",0.270833333333333,0,0,0,0,0,0,0,0,0,1,0,-0.315063018906302,0,0,0,-0.180144173030723,0,-0.207289049397213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.221162934232346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chimpanzee",0,0,0,0,0,0,-0.269407953040162,0,0,-0.313164384590661,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.41478067789217,0,0.493914580573631,0,0,0,0,0,0,0,0.313164384590661,0,0,0.313164384590661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366617787553383,0
"cow",-0.315063018906302,0,0,0,0,0,0,0,0,0,-0.315063018906302,0,1,0.349089958725762,0,0,0.17937941173235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461094077616895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"crow",0,0,0,0.298456439592633,-0.195529486695138,0,0,0,0,0,0,0,0.349089958725762,1,0,0,0.610540626519501,0,0,0.169411303499267,0,0,0,0,0,0,0,0,0,0.685344416842342,0,0,0,0,0,0,0,0,0.313164384590661,0,0,0,0.308112609420893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dog",0,0,0,0,0,0,0.408248290463863,0,0,0.897527467855751,0,0,0,0,1,0,0,0,0,0.256718015405135,0,0,0,0,0,0,-0.204124145231931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185695338177052,0,0,0,0,0,0,0
"dolphin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166666666666667,0,0,0,0,0,0,0,0,0,0,-0.373408022407469,0,0,0.393178549746392,0,0
"donkey",0,0,0,0,-0.320256307610174,-0.211340986102904,0,0,-0.211340986102904,-0.0792934711266737,-0.180144173030723,0,0.17937941173235,0.610540626519501,0,0,1,0,-0.116677766149773,0.0485819240108448,0,0,0,0,0,0.320256307610174,0,0,0.343810539153671,0.418430609640565,0,0,-0.0533760512683624,0,0,0,0,0,0,0,0,0,0.263640625262853,0,0,0,0,0,0,0,-0.267615465052524,0,0,0,0,0,0,0
"duck",0,0,0,0,0,0,-0.269407953040162,0,0,-0.313164384590661,0,0,0,0,0,0,0,1,0,-0.369624662180218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43994134506406,0,0,0,0,0,0,0,0,0,-0.211340986102904,0,0,0.313164384590661,0,0,0,0,0,-0.311085508419128,0,0,0
"eagle",0,0,0,0,0,0,0,0,0,0,-0.207289049397213,0,0,0,0,0,-0.116677766149773,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.359347998116796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"elephant",0,0,0,0,0.392856356907858,0,0.0857492925712544,0,0,0.316364338557842,0,0,0,0.169411303499267,0.256718015405135,0,0.0485819240108448,-0.369624662180218,0,1,0,0,0,0,0,0,0,0,0.143790849673203,0,0,0,0.396746023807936,0,0,0,0,0,0.442043322368492,0,0,0,0.340659057343825,0,0,0.17937941173235,0,0,0,0,-0.164682806372575,0,0,0,0.26403934479378,0,0,0
"ferret",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320256307610174,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214625462533077,0,0,0,0,-0.177821689789755,0,0
"fish",0,0,0,0,0,0,0,0.43007561540389,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.362103412188951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143356643356643,0,0,0,0,0,0,0,0
"fox",0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.342997170285018,0,0,0,0,0,0,0,0,0,0,0.492365963917331,0,0,0,0,0,0,0,0,0,0,0.151619608715781,0,0,0,0,0,0,0
"frog",0,0,0,0,0,0,0,0.46475800154489,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362103412188951,0,1,0,0,0,0,0,0,0,0,0,-0.14142135623731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.531085004543794,0,0.366617787553383,0,0.247593784236069,0,0,0,-0.280975743474508
"giraffe",0,0,0,0,0,0,0.288675134594813,0,0,0.218844054766204,0,-0.41478067789217,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"goat",0,0,0,0,0.25,-0.293294230042707,0,0,0,0,0,0,0,0,0,0,0.320256307610174,0,0,0,0,0,0,0,0,1,0,0,0,-0.201007563051842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gorilla",0,0,0,0,0,0,-0.285714285714286,0,0,-0.341144119610507,0,0.493914580573631,0,0,-0.204124145231931,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.341144119610507,0,0,0.530668630505232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0
"hawk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251259453814803,0,0.364326208031464,0,0,0,0.364326208031464,0,0,0,0,0,0,0,0,0,0
"horse",0,0,-0.392856356907858,0,0,0,0,0,-0.349089958725762,0,0,0,0,0,0,0,0.343810539153671,0,0,0.143790849673203,0,0,-0.342997170285018,0,0,0,0,0,1,0,0,0,-0.396746023807936,0,0,0,0,0,0,-0.239246854188424,0,-0.396746023807936,0,0,0,0,0,-0.297559517855952,0,0,-0.442043322368492,0,0,0,0,0,0,0
"hummingbird",0,0,0,0.46969696969697,-0.134005042034562,0,0,0,0,0,0,0,0,0.685344416842342,0,0,0.418430609640565,0,0,0,0,0,0,0,0,-0.201007563051842,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kangaroo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.493914580573631,0,0,0,0,0,0,0,0,0,0,0,0,0.492365963917331,0,0,0,0,0,0,0,0,0,0,-0.210675242900096,0,0
"lemur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493914580573631,1,0,0,0,0,0,0,0,0,0,0,0,0,0.685344416842342,0,0.0955825573264156,0,0,0,0,0,0,0,0,-0.259463250038646,0,0
"leopard",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0533760512683624,0,0,0.396746023807936,0,0,0,0,0,0,0,0,-0.396746023807936,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lion",0,-0.547267233169888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14142135623731,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.509524665365068,0,0,-0.147313912747197,0,0,0,0,0,-0.409673245199351,0,-0.233314131314346,0.66009836198445,0,0,-0.347524023428458,0,0.364246398192887
"lizard",0,0,0,0,0,0,0,0,0,0,0,0.313164384590661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341144119610507,0,0,0,0,0,0,0,1,0,0,0.597701149425287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247593784236069,0
"monkey",0,0,0,0,0,0,0,0,0,-0.247593784236069,0,0,0,0,0,0,0,0.43994134506406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.247593784236069,0,0,0,0,0,-0.235702260395516,0,0,0
"mouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320256307610174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.320256307610174,0,0.632867132867133,0,0,0,0.121033648046685,0,0,0,0,0.0676263648697691,0,0
"orangutan",0,0,0,0,0,0,0,0,0,-0.195402298850575,0,0.313164384590661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.530668630505232,0,0,0,0,0,0,0,0.597701149425287,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ostrich",0,0,0,0,0,0,0,0,0,0,0,0,0,0.313164384590661,0,0,0,0,0,0.442043322368492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.150586061503183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"panther",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492365963917331,0,0,0,0,0,-0.239246854188424,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.214625462533077,0,0,0,0,0,0,0
"parrot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509524665365068,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.44097438717536,0,0,-0.287250233495347,0,0
"penguin",0,0,0,0,0,0,0,0,0.366617787553383,0,0,0,0,0,0,-0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0.251259453814803,-0.396746023807936,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.458333333333333,0,0,0.193121819834107,0.458333333333333,0,0,0.46423834544263,0,-0.0933520056018673,0,0,0.221162934232346,0,0
"pig",-0.221162934232346,0,0,0,0,0,0,0,0,0,-0.221162934232346,0,0.461094077616895,0.308112609420893,0,0,0.263640625262853,0,-0.359347998116796,0.340659057343825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150586061503183,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"polar bear",0,0.286896275567448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364326208031464,0,0,0,0,0,-0.147313912747197,0,0,0,0,0,0,0,0.458333333333333,0,1,0,0,0,0.635416666666667,0,0,0.402339899383612,0,-0.315063018906302,0,0,0.423895623945329,0,0
"porcupine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492365963917331,0.685344416842342,0,0,0,0,0.320256307610174,0,0,0,0,0,0,0,1,0,0.320256307610174,0,0,0,0,0,0,0,0,-0.177821689789755,0,0
"rabbit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.211340986102904,0,0.17937941173235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.245326690731329,0,0,0
"rat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0955825573264156,0,0,0,0,0.632867132867133,0,0,0,0,0.193121819834107,0,0,0.320256307610174,0,1,0,0,0,0.277929117736832,0,0,0,0,0.316776130179445,0,0
"raven",0,0,-0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364326208031464,-0.297559517855952,0,0,0,0,0,0,0,0,0,0,0,0,0.458333333333333,0,0.635416666666667,0,0,0,1,0,0,0.402339899383612,0,0,0,0,0,0,0
"rhinoceros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313164384590661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247593784236069,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.240728460242825,0,0,0
"snake",0,0.359494295458103,0,0,0,0,0,0.299183036802706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143356643356643,0,0.531085004543794,0,0,0,0,0,0,0,0,0,-0.409673245199351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.281437529905557,-0.199438170602397,0.121033648046685,0,0,0,-0.362880782454193
"spider",0,0,0.294017618780332,0,0,0,0,0,0.551441633735729,0.206896551724138,0,0,0,0,0.185695338177052,0,-0.267615465052524,0,0,-0.164682806372575,0.214625462533077,0,0.151619608715781,0,0,0,0,0,-0.442043322368492,0,0,0,0,0,0,0,0.121033648046685,0,0,0.214625462533077,0,0.46423834544263,0,0.402339899383612,0,0,0.277929117736832,0.402339899383612,0,0,1,0,0,0,0,0.310298550976256,0,0
"squirrel",0,0,0,0,0,0,0,0.170388550274119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366617787553383,0,0,0,0,0,0,0,0,0,-0.233314131314346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281437529905557,0,1,0,0,0,0,0,0
"tiger",0,-0.474608026875176,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.373408022407469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66009836198445,0,0,0,0,0,0,0.44097438717536,-0.0933520056018673,0,-0.315063018906302,0,0,0,0,0,-0.199438170602397,0,0,1,0,0,-0.622821104840731,0,0
"turtle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247593784236069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033648046685,0,0,0,1,0,0,0,-0.49567091418845
"whale",0,0,0,0,0,0,0,0,0,0.393919298579168,0,0,0,0,0,0,0,-0.311085508419128,0,0.26403934479378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.235702260395516,0,0,0,0,0,0,0,0,0,-0.245326690731329,0,0,-0.240728460242825,0,0,0,0,0,1,0,0,0
"wolf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393178549746392,0,0,0,0,-0.177821689789755,0,0,0,0,0,0,0,0,0,-0.210675242900096,-0.259463250038646,0,-0.347524023428458,0,0,0.0676263648697691,0,0,0,-0.287250233495347,0.221162934232346,0,0.423895623945329,-0.177821689789755,0,0.316776130179445,0,0,0,0.310298550976256,0,-0.622821104840731,0,0,1,0,0
"worm",0,0,0,0,0,0,0,0,0,0,0,0.366617787553383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0.247593784236069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"zebra",0,-0.247456698866216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.280975743474508,0,0,0,0,0,0,0,0,0,0.364246398192887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.362880782454193,0,0,0,-0.49567091418845,0,0,0,1
